evaluador,nombre,tipo,image_index,lead_time_seg
E7,E7,ai,29,0.061238009000589955
E7,E7,ai,30,0.05680705099985062
E7,E7,ai,31,0.06612961500013625
E7,E7,ai,32,0.05476550399998814
E7,E7,ai,33,0.043989571000565775
E7,E7,ai,34,0.06084231299973908
E7,E7,ai,35,0.08590663599989057
E7,E7,ai,36,0.08553490199938096
E7,E7,ai,37,0.054080061000604474
E7,E7,ai,38,0.050835550000556395
E7,E7,ai,39,0.044893786999637086
E7,E7,ai,40,0.07064994899974408
E7,E7,ai,41,0.04341459700026462
E7,E7,ai,42,0.06634354600009829
E7,E7,ai,43,0.06284292100008315
E7,E7,ai,44,0.058258853000552335
E7,E7,ai,45,0.06785299300008774
E7,E7,ai,46,0.0405452389995844
E7,E7,ai,47,0.09310564899988094
E7,E7,ai,48,0.04904283799987752
E7,E7,ai,49,0.05404276100034622
E7,E7,ai,50,0.046527728000000934
E7,E7,ai,51,0.0506599999998798
E7,E7,ai,52,0.050090565000573406
E7,E7,ai,53,0.05806194300021161
E7,E7,ai,54,0.051185727000301995
E7,E7,ai,55,0.042215692000354466
E7,E7,ai,56,0.07155529200008459
E7,E7,ai,57,0.07195673400019587
E7,E7,ai,58,0.09308613400025934
E7,E7,ai,59,0.0590592150001612
E7,E7,ai,60,0.07994034699913755
E7,E7,ai,61,0.09658114399917395
E7,E7,ai,62,0.05413917399982893
E7,E7,ai,63,0.0641393039995819
E7,E7,ai,64,0.06052656000065326
E7,E7,ai,65,0.10861125700012053
E7,E7,ai,66,0.04853371100034565
E7,E7,ai,67,0.05479966699931538
E7,E7,ai,68,0.06412855599955947
E7,E7,ai,69,0.06808094200005144
E7,E7,ai,70,0.11093218000041816
E7,E7,ai,71,0.16840114099977654
E7,E7,ai,72,0.20304971499990643
E7,E7,ai,73,0.14434706500014727
E7,E7,ai,74,0.058043124000505486
E7,E7,ai,75,0.04291340600047988
E7,E7,ai,76,0.08849183900019852
E7,E7,ai,77,0.09992061400043895
E7,E7,ai,78,0.050852083000791026
E7,E7,ai,79,0.07247604900021543
E7,E7,ai,80,0.050353408000773925
E7,E7,ai,81,0.05368350200023997
E7,E7,ai,82,0.04090752800038899
E7,E7,ai,83,0.05797490700024355
E7,E7,ai,84,0.06320391900044342
E7,E7,ai,85,0.1056696550003835
E7,E7,ai,86,0.07509049999953277
E7,E7,ai,87,0.05328900400036218
E7,E7,ai,88,0.11170268499972735
E7,E7,ai,89,0.12291910899966751
E7,E7,ai,90,0.12293993500043143
E7,E7,ai,91,0.0597066199998153
E7,E7,ai,92,0.08603097200011689
E7,E7,ai,93,0.11758345299949724
E7,E7,ai,94,0.10018475299966667
E7,E7,ai,95,0.053282228999705694
E7,E7,ai,96,0.11111750400050369
E7,E7,ai,97,0.06232092600021133
E7,E7,ai,98,0.09062445300060062
E7,E7,ai,99,0.09383933099979913
E7,E7,ai,100,0.12688900400007697
E7,E7,ai,101,0.05712403000052291
ModeloEspecialista,ModeloEspecialista,ai,1,0.6002138390031178
ModeloEspecialista,ModeloEspecialista,ai,2,1.4927596330089727
ModeloEspecialista,ModeloEspecialista,ai,3,1.4355558850002126
ModeloEspecialista,ModeloEspecialista,ai,4,2.6195832419980434
ModeloEspecialista,ModeloEspecialista,ai,5,1.631767500002752
ModeloEspecialista,ModeloEspecialista,ai,6,1.4554941539972788
ModeloEspecialista,ModeloEspecialista,ai,7,1.456462839996675
ModeloEspecialista,ModeloEspecialista,ai,8,0.6089488239958882
ModeloEspecialista,ModeloEspecialista,ai,9,0.7634309860004578
ModeloEspecialista,ModeloEspecialista,ai,10,1.0495626230040216
ModeloEspecialista,ModeloEspecialista,ai,11,1.1117646699931356
ModeloEspecialista,ModeloEspecialista,ai,12,0.7690675810008543
ModeloEspecialista,ModeloEspecialista,ai,13,0.6171314579987666
ModeloEspecialista,ModeloEspecialista,ai,14,0.6357869519997621
ModeloEspecialista,ModeloEspecialista,ai,15,0.7665205270022852
ModeloEspecialista,ModeloEspecialista,ai,16,0.5787505990010686
ModeloEspecialista,ModeloEspecialista,ai,17,0.3247935679901275
ModeloEspecialista,ModeloEspecialista,ai,18,0.2425946750008734
ModeloEspecialista,ModeloEspecialista,ai,19,0.388164850002795
ModeloEspecialista,ModeloEspecialista,ai,20,0.41530972099280916
ModeloEspecialista,ModeloEspecialista,ai,21,0.20910975300648715
ModeloEspecialista,ModeloEspecialista,ai,22,0.34203450099448673
ModeloEspecialista,ModeloEspecialista,ai,23,0.2006408340021153
ModeloEspecialista,ModeloEspecialista,ai,24,0.17711669599520974
ModeloEspecialista,ModeloEspecialista,ai,25,0.19467041600000812
ModeloEspecialista,ModeloEspecialista,ai,26,0.3148268709992408
ModeloEspecialista,ModeloEspecialista,ai,27,1.0580689770067693
ModeloEspecialista,ModeloEspecialista,ai,28,0.2555489910009783
ModeloEspecialista,ModeloEspecialista,ai,29,0.5059104049942107
ModeloEspecialista,ModeloEspecialista,ai,30,0.43850448400189634
ModeloEspecialista,ModeloEspecialista,ai,31,0.4560456549952505
ModeloEspecialista,ModeloEspecialista,ai,32,0.2078048059993307
ModeloEspecialista,ModeloEspecialista,ai,33,0.4485692160014878
ModeloEspecialista,ModeloEspecialista,ai,34,0.39384994800639106
ModeloEspecialista,ModeloEspecialista,ai,35,0.4650582110043615
ModeloEspecialista,ModeloEspecialista,ai,36,0.3567832100088708
ModeloEspecialista,ModeloEspecialista,ai,37,0.22940359199856175
ModeloEspecialista,ModeloEspecialista,ai,38,0.3965752459989744
ModeloEspecialista,ModeloEspecialista,ai,39,0.5216290069947718
ModeloEspecialista,ModeloEspecialista,ai,40,1.8724541850024252
ModeloEspecialista,ModeloEspecialista,ai,41,0.45553573499637423
ModeloEspecialista,ModeloEspecialista,ai,42,0.49524496399681084
ModeloEspecialista,ModeloEspecialista,ai,43,0.326579127999139
ModeloEspecialista,ModeloEspecialista,ai,44,0.4180014619923895
ModeloEspecialista,ModeloEspecialista,ai,45,0.44811409799876856
ModeloEspecialista,ModeloEspecialista,ai,46,0.26265705799596617
ModeloEspecialista,ModeloEspecialista,ai,47,0.22865170599834528
ModeloEspecialista,ModeloEspecialista,ai,48,0.4529042119975202
ModeloEspecialista,ModeloEspecialista,ai,49,1.2640246660012053
ModeloEspecialista,ModeloEspecialista,ai,50,0.6368937009974616
ModeloEspecialista,ModeloEspecialista,ai,51,0.39126347800629446
ModeloEspecialista,ModeloEspecialista,ai,52,0.6760140149999643
ModeloEspecialista,ModeloEspecialista,ai,53,1.1170451790021616
ModeloEspecialista,ModeloEspecialista,ai,54,0.23179010299645597
ModeloEspecialista,ModeloEspecialista,ai,55,0.40714293299242854
ModeloEspecialista,ModeloEspecialista,ai,56,0.3116465249986504
ModeloEspecialista,ModeloEspecialista,ai,57,0.41967649300204357
ModeloEspecialista,ModeloEspecialista,ai,58,0.26584470400121063
